user_id,tweet_id,class,tweet_text_clean
user0001,0d3ed29586ce,control,cheesecake saludable sin azúcar y sin lactosa con mermerlada casera de moras
user0002,c3cf897a495b,anorexia,ser como ellas hastaloshuesos
user0003,5041d85c45c6,control,"comida real o , la clave para estar más sana, delgada y feliz"
user0004,d18285d3c7ec,control,"entre el cambio de hora y la bajada de las temperaturas estamos destemplados, por eso os recomendamos un buen plato de fabada casera para entonar el cuerpo decasa platoscuchara madridrio gastro arganzuela"
user0005,4d81892f3217,anorexia,hace mucho tiempo no sentía mi cuerpo tan frío
user0006,8beeb35e11de,anorexia,ser gorda esta mal
user0007,a34963448596,control,"si en un restaurante, la pretensión es el ingrediente principal del plato que pediste, mejor comete el pan. cocinardeverdadesotracosa"
user0008,1ed5154df490,control,"puaa increible, nose como permiten esas paginas de mierda que llenan la cabeza de bobadas diariode"
user0009,99c105ae2f12,anorexia,"perder una batalla, no significa que la guerra este perdida, cada día es una batalla, nuestras metas son la victoria."
user0010,18c237db6f53,control,"cuando la ley no responde nuestras elecciones hacen el cambio. come local y sustentable, respetando la vida de los seres que serán tu comida. somosloquecomemos somosloqueelegimos"
user0011,02c4086ec8e3,anorexia,quisiera pasar todas las vacaciones asi thin thinspiration thinsgap thinspo legs perfect outfit
user0012,194c855a0ff5,control,"hoy en el asaltablog hemos robado a mel de estas fantásticas aloo parathas integrales. típicas d la cocina india las hemos convertido en el complemento perfecto de una cena sana, sabrosa y deliciosa recipes"
user0013,5301def06867,anorexia,estoy como para saltearme el almuerzo
user0014,da4a678f2693,anorexia,estoy cansada de estar pérdida. anorexia bulimia
user0015,af6077c20b97,anorexia,"los huesos que se me notan, son la copa, la medalla, por haberte ganado la batalla. ."
user0016,95f0866200e2,control,norex anfepromona un potente medicamento para dejar de comer en exceso adelgaza sin hambre tusclásicos sabadodeganarseguidores espuenteytodos bellezasuperior twitterbestfandom soompiawards convoyvl19 20anosvl19 tampico dieta obesidad madero tamaulipas fit
user0017,7bc01e182024,anorexia,cambiar la comida por el alcohol
user0018,121b9bdab738,control,"flipo!! pero porqué en vez de dejar de buscar cosas guarras sin gluten, no empiezan a comer ? abandonar los ultraprocesados y la bolleria ayudaría bastante... digo yo equipogluten."
user0019,97cad7c82a89,control,voy a dejar esta foto aquí y cada que quiera comer antojos recordaré que tengo que cenar maldito atún en agua y que cada antojo se convierte en mas cenas de atún con agua...
user0020,77f9d345b278,control,el desafío de flexiones de brazos que dura 10 minutos entrenamiento workout felizmartes
user0021,a8cb02cd180b,control,tiempo para una receta deliciosa!! quien está listo para mirar el bocadillo saludable que vamos a preparar??? vidasaludable cocina
user0022,c8d7fb50f38d,control,más pegatinasrealfooder la idea es motivar a niños y a los no tan niños a comer mejor. más y menos ultraprocesados. un punto una pegatina por cada día que comas sano. ¿conseguiremos cambiarlo un poquito? sería genial aplicarlo en distintos centros.
user0023,163238e7fd2a,anorexia,el día que pese 45 kilos seré feliz
user0024,ebb7399ccc84,anorexia,meta del día más que cumplida noteat
user0025,902edae2d259,control,¿aún no tienes cena? te traemos una receta sencilla y riquísima patata fundente de torta cañarejal con pechuga a las finas hierbas foodie recetas
user0026,434cdbfccbbe,anorexia,mepongodebuenascuando veo que sigo baje y baje de peso
user0027,cd0f0a4a9c28,anorexia,alegría al adelgazar y frustración al engordar testimonios2016 anorexia
user0028,b3a231c48237,anorexia,"me to others everybody should love their body and accept it in the way they are, all body types are beauty. me to me anorexia anorexic ana mia skinny"
user0029,790304dc259a,anorexia,tip esta lista es un resumen de la verduras y legumbres que tienen pocas calorias vegetarian
